CodMaterialSAP,CodMaterial,DescMaterial,UnidadBase,IndicadorBorrado,CodGrupoArt,TipoMaterial,CodFabricante,fecha_foto_limpia
000000000000100001,0100001,MARCADO P/BORRAR-COD.ANULADO SIN EXIST.,M,True,01,1,,2026-03-25
000000000000100002,0100002,"CAÑO ACERO C/COST 10,75 PLG 9,27MM X60 R",M,False,01,1,,2026-03-25
000000000000100003,0100003,MARCADO PARA BORRAR SIN EXIST.,M,True,01,1,,2026-03-25
000000000000100004,0100004,MARCADO PARA BORRAR SIN EXIST.,M,True,01,1,,2026-03-25
000000000000100005,0100005,MARCADO PARA BORRAR SIN EXIST.,M,True,01,1,,2026-03-25
000000000000100006,0100006,MARCADO P/BORRAR-COD.ANULADO SIN EXIST.,M,True,01,1,,2026-03-25
000000000000100007,0100007,MARCADO P/BORRAR-COD.ANULADO SIN EXIST.,M,True,01,1,,2026-03-25
000000000000100008,0100008,MARCADO P/BORRAR-COD.ANULADO SIN EXIST.,M,True,01,1,,2026-03-25
000000000000100009,0100009,MARCADO P/ BORRAR,M,True,01,1,,2026-03-25
000000000000100010,0100010,MARCADO PARA BORRAR SIN EXIST.,M,True,01,1,,2026-03-25
000000000000100011,0100011,MARCADO PARA BORRAR SIN EXIST.,M,True,01,1,,2026-03-25
000000000000100012,0100012,MARCADO P/BORRAR-COD.ANULADO SIN EXIST.,M,True,01,1,,2026-03-25
000000000000100013,0100013,MARCADO PARA BORRAR SIN EXIST.,M,True,01,1,,2026-03-25
000000000000100014,0100014,MARCADO PARA BORRAR SIN EXIST.,M,True,01,1,,2026-03-25
000000000000100015,0100015,CAÑO ACERO C/COST 24 PLG 12.7 MM X56 REV,M,False,01,1,552,2026-03-25
000000000000100016,0100016,MARCADO PARA BORRAR SIN EXIST.,M,True,01,1,,2026-03-25
000000000000100017,0100017,MARCADO PARA BORRAR SIN EXIST.,M,True,01,1,,2026-03-25
000000000000100018,0100018,MARCADO P/BORRAR-COD.ANULADO SIN EXIST.,M,True,01,1,,2026-03-25
000000000000100019,0100019,CAÑO ACERO C/COST 24 PLG 11.1 MM X60 REV,M,False,01,1,,2026-03-25
000000000000100020,0100020,CAÑO ACERO C/COST 24 PLG 7.9 MM X60 REV,M,False,01,1,,2026-03-25
000000000000100021,0100021,MARCADO PARA BORRAR SIN EXIST.,M,True,01,1,,2026-03-25
000000000000100022,0100022,MARCADO P/BORRAR-COD.ANULADO SIN EXIST.,M,True,01,1,,2026-03-25
000000000000100023,0100023,"CAÑO ACERO C/COST 30"" 8.7 MM X60",M,False,01,1,,2026-03-25
000000000000100024,0100024,MARCADO P/BORRAR-COD.ANULADO SIN EXIST.,M,True,01,1,,2026-03-25
000000000000100025,0100025,CAÑO ACERO C/COST 30 PLG 12.7 MM X60 REV,M,False,01,1,,2026-03-25
000000000000100026,0100026,CAÑO ACERO C/COST 30 PLG 8.74 MM X60 REV,M,False,01,1,,2026-03-25
000000000000100027,0100027,MARCADO P/BORRAR-COD.ANULADO SIN EXIST.,M,True,01,1,,2026-03-25
000000000000100028,0100028,CAÑO DE ACERO S/COST 4 PLG 4.78 MM X52,M,False,01,1,,2026-03-25
000000000000100029,0100029,MARCADO PARA BORRAR SIN EXIST.,M,True,01,1,,2026-03-25
000000000000100030,0100030,MARCADO P/BORRAR-COD.ANULADO SIN EXIST.,M,True,01,1,,2026-03-25
000000000000100031,0100031,MARCADO PARA BORRAR SIN EXIST.,M,True,01,1,,2026-03-25
000000000000100032,0100032,MARCADO PARA BORRAR SIN EXIST.,M,True,01,1,,2026-03-25
000000000000100033,0100033,MARCADO P/BORRAR-COD.ANULADO SIN EXIST.,M,True,01,1,,2026-03-25
000000000000100034,0100034,MARCADO PARA BORRAR SIN EXIST.,M,True,01,1,,2026-03-25
000000000000100035,0100035,MARCADO PARA BORRAR SIN EXIST.,M,True,01,1,,2026-03-25
000000000000100036,0100036,CAÑO ACERO C/COST 24 PLG 14.3 MM X60 REV,M,False,01,1,,2026-03-25
000000000000100037,0100037,CAÑO ACERO C/COST 18 PLG 6.35 MM X52 REV,M,False,01,1,,2026-03-25
000000000000100038,0100038,MARCADO PARA BORRAR SIN EXIST.,M,True,01,1,552,2026-03-25
000000000000100039,0100039,CAÑO ACERO C/COST 16 PLG 6.4 MM X60 REV,M,False,01,1,,2026-03-25
